1,1,2015-12-05,0:0:16,926,+1:00,192.168.80.1,2742,192.168.80.128,80,TCP,RX,SYN,0
2,1,2015-12-05,0:0:16,926,+1:00,192.168.80.1,2742,192.168.80.128,80,TCP,RX,474554202F20485454502F312E310D0A486F73743A2067776967766D77696E370D0A557365722D4167656E743A204D6F7A696C6C612F352E30202857696E646F7773204E5420362E313B20574F5736343B2072763A34322E3029204765636B6F2F32303130303130312046697265666F782F34322E300D0A4163636570743A20746578742F68746D6C2C6170706C69636174696F6E2F7868746D6C2B786D6C2C6170706C69636174696F6E2F786D6C3B713D302E392C2A2F2A3B713D302E380D0A4163636570742D4C616E67756167653A20656E2D47422C656E3B713D302E350D0A4163636570742D456E636F64696E673A20677A69702C206465666C6174650D0A444E543A20310D0A526566657265723A20687474703A2F2F67776967766D77696E372F6476640D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A0D0A,324
3,1,2015-12-05,0:0:17,50,+1:00,192.168.80.1,2742,192.168.80.128,80,TCP,TX,485454502F312E3120323030204F4B0D0A5365727665723A204D6963726F736F66742D4949532F352E300D0A446174653A205361742C2030352044656320323031352030303A30303A313620474D540D0A436F6E74656E742D547970653A20746578742F68746D6C0D0A436F6E74656E742D4C656E6774683A20313236360D0A0D0A3C212D2D0D0A0920205741524E494E47210D0A092020506C6561736520646F206E6F7420616C74657220746869732066696C652E204974206D6179206265207265706C6163656420696620796F75207570677261646520796F75722077656220736572766572200D0A2020202020496620796F752077616E7420746F2075736520697420617320612074656D706C6174652C207765207265636F6D6D656E642072656E616D696E672069742C20616E64206D6F64696679696E6720746865206E65772066696C652E0D0A0920205468616E6B732E0D0A2D2D3E0D0A0D0A0D0A3C48544D4C3E0D0A0D0A3C484541443E0D0A3C4D45544120485454502D45515549563D22436F6E74656E742D547970652220436F6E74656E743D22746578742D68746D6C3B20636861727365743D57696E646F77732D31323532223E0D0A0D0A090D0A0D0A3C7469746C652069643D7469746C65746578743E556E64657220436F6E737472756374696F6E3C2F7469746C653E0D0A3C2F484541443E0D0A093C626F6479206267636F6C6F723D77686974653E0D0A093C5441424C453E0D0A093C54523E0D0A093C74642069643D227461626C6550726F7073222077696474683D37302076616C69676E3D746F7020616C69676E3D63656E7465723E0D0A093C494D472069643D227061676572726F72496D6722205352433D227061676572726F722E676966222077696474683D3336206865696768743D34383E20200D0A093C54442069643D227461626C6550726F70735769647468222077696474683D3430303E0D0A090D0A093C68312069643D6572726F7274797065207374796C653D22666F6E743A313470742F313670742076657264616E613B20636F6C6F723A23346534653465223E0D0A093C69642069643D22436F6D6D656E7431223E3C212D2D50726F626C656D2D2D3E3C2F69643E3C69642069643D226572726F7254657874223E556E64657220436F6E737472756374696F6E3C2F69643E3C2F68313E0D0A093C69642069643D22436F6D6D656E7432223E3C212D2D50726F6261626C65206361757365733A3C2D2D3E3C2F69643E3C69642069643D226572726F7264657363223E3C666F6E74207374796C653D22666F6E743A3970742F313270742076657264616E613B20636F6C6F723A626C61636B223E0D0A09546865207369746520796F75207765726520747279696E6720746F20726561636820646F6573206E6F742063757272656E746C79206861766520612064656661756C7420706167652E204974206D617920626520696E207468652070726F63657373206F66206265696E672075706772616465642E0D0A093C2F69643E0D0A093C62723E3C62723E0D0A090D0A093C68722073697A653D3120636F6C6F723D22626C7565223E0D0A090D0A093C62723E0D0A093C4944202069643D7465726D313E0D0A09506C65617365207472792074686973207369746520616761696E206C617465722E20496620796F75207374696C6C20657870657269656E6365207468652070726F626C656D2C2074727920636F6E74616374696E67207468652057656220736974652061646D696E6973747261746F722E0D0A093C2F49443E0D0A093C503E0D0A090D0A093C2F756C3E0D0A093C42523E0D0A093C2F54443E0D0A093C2F54523E0D0A093C2F5441424C453E0D0A093C2F424F44593E0D0A0D0A3C2F48544D4C3E0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A0D0A,1396
4,1,2015-12-05,0:0:17,50,+1:00,192.168.80.1,2742,192.168.80.128,80,TCP,TX,FIN,0
5,2,2015-12-05,0:0:17,175,+1:00,192.168.80.1,2743,192.168.80.128,80,TCP,RX,SYN,0
6,2,2015-12-05,0:0:17,175,+1:00,192.168.80.1,2743,192.168.80.128,80,TCP,RX,474554202F7061676572726F722E67696620485454502F312E310D0A486F73743A2067776967766D77696E370D0A557365722D4167656E743A204D6F7A696C6C612F352E30202857696E646F7773204E5420362E313B20574F5736343B2072763A34322E3029204765636B6F2F32303130303130312046697265666F782F34322E300D0A4163636570743A20696D6167652F706E672C696D6167652F2A3B713D302E382C2A2F2A3B713D302E350D0A4163636570742D4C616E67756167653A20656E2D47422C656E3B713D302E350D0A4163636570742D456E636F64696E673A20677A69702C206465666C6174650D0A444E543A20310D0A526566657265723A20687474703A2F2F67776967766D77696E372F0D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A0D0A,303
7,2,2015-12-05,0:0:17,300,+1:00,192.168.80.1,2743,192.168.80.128,80,TCP,TX,424DF60A000000000000360400002800000024000000300000000100080000000000C0060000000000000000000000010000000100000000000000008000008000000080800080000000800080008080000080808000C0C0C0000000FF0000FF000000FFFF00FF000000FF00FF00FFFF0000FFFFFF00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070808080808080808080808080808080808080808080808080808080808080808080800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F080C0C0C0C0C0C0C080F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F080C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F08070C0C0C07080F0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F080C0C0C0C0C0C0C080F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0C0C0C0C0C0C0C0C0C0F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F080C0C0C0C0C0C0C080F0F0F0F0F0F0F0F0F0F0F0F0F0800070F0F0F0F0F0F0F0F0F0F0F0F08070C0C0C07080F0F0F0F0F0F08080808080808080800070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0807070707070707070700070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070000000000000000000000070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0F0F0F0F0F0807000F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0F0F0F0F0807000F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0F0F0F0807000F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0F0F0807000F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0F0807000F0F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0F0807000F0F0F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070F0807000F0F0F0F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F070807000F0F0F0F0F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0707000F0F0F0F0F0F0F0F0F070F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F0F07000F0F0F0F0F0F0F0F0F0F070707070707070707070707070707070707070707070707070F0F0F0F0F0F0F0F0F0F0F,2806
8,2,2015-12-05,0:0:17,300,+1:00,192.168.80.1,2743,192.168.80.128,80,TCP,TX,FIN,0
9,3,2015-12-05,23:59:52,829,+1:00,192.168.80.1,2768,192.168.80.128,80,TCP,RX,SYN,0
10,3,2015-12-05,23:59:52,829,+1:00,192.168.80.1,2768,192.168.80.128,80,TCP,RX,474554202F20485454502F312E310D0A486F73743A2067776967766D77696E370D0A557365722D4167656E743A204D6F7A696C6C612F352E30202857696E646F7773204E5420362E313B20574F5736343B2072763A34322E3029204765636B6F2F32303130303130312046697265666F782F34322E300D0A4163636570743A20746578742F68746D6C2C6170706C69636174696F6E2F7868746D6C2B786D6C2C6170706C69636174696F6E2F786D6C3B713D302E392C2A2F2A3B713D302E380D0A4163636570742D4C616E67756167653A20656E2D47422C656E3B713D302E350D0A4163636570742D456E636F64696E673A20677A69702C206465666C6174650D0A444E543A20310D0A526566657265723A20687474703A2F2F67776967766D77696E372F6476640D0A436F6E6E656374696F6E3A206B6565702D616C6976650D0A43616368652D436F6E74726F6C3A206D61782D6167653D300D0A0D0A,350
